1, Skrtel, 11, Defender, 6.2, NaN, 18.11
2, Hart, 12, Goalkeeper, 6.8, NaN, 17.83
3, Van Persie, 1, Forward, 13.2, NaN, 17.6
4, Petrov, 3, Midfielder, 5.8, NaN, 16.91
5, Silva, 12, Midfielder, 10.3, NaN, 16.17
6, Sturridge, 8, Forward, 7.4, NaN, 16.06
7, Berbatov, 2, Forward, 8.9, NaN, 15.99
8, Valencia, 2, Midfielder, 8, NaN, 14.97
9, Gomez, 19, Midfielder, 5, NaN, 14.22
10, Routledge, 29, Midfielder, 4.8, NaN, 12.31
11, Mignolet, 15, Goalkeeper, 4.3, NaN, 11.64
12, Caulker, 29, Defender, 4, NaN, 10.59
13, Warnock, 3, Defender, 4.9, NaN, 10.5
14, Turner, 15, Defender, 4.2, NaN, 10.17
15, Heitinga, 9, Defender, 5.2, NaN, 10.09
Total Points, 213.16,, Total Form, NaN,, Total Price: 99
