1, Hart, 12, Goalkeeper, 6.8, NaN, 17.83
2, Van Persie, 1, Forward, 13.2, NaN, 17.6
3, Petrov, 3, Midfielder, 5.8, NaN, 16.91
4, Silva, 12, Midfielder, 10.3, NaN, 16.17
5, Sturridge, 8, Forward, 7.4, NaN, 16.06
6, Berbatov, 2, Forward, 8.9, NaN, 15.99
7, Valencia, 2, Midfielder, 8, NaN, 14.97
8, Sessegnon, 15, Midfielder, 6.6, NaN, 14.54
9, Gomez, 19, Midfielder, 5, NaN, 14.22
10, Mignolet, 15, Goalkeeper, 4.3, NaN, 11.64
11, Boyce, 19, Defender, 4.3, NaN, 11.55
12, Ricketts, 7, Defender, 4.4, NaN, 10.67
13, Caulker, 29, Defender, 4, NaN, 10.59
14, Warnock, 3, Defender, 4.9, NaN, 10.5
15, Williams, 29, Defender, 5, NaN, 10.23
Total Points, 209.47,, Total Form, NaN,, Total Price: 98.9
