1, Van Persie, 1, Forward, 13.2, NaN, 17.6
2, Petrov, 3, Midfielder, 5.8, NaN, 16.91
3, Silva, 12, Midfielder, 10.3, NaN, 16.17
4, Sturridge, 8, Forward, 7.4, NaN, 16.06
5, Berbatov, 2, Forward, 8.9, NaN, 15.99
6, Valencia, 2, Midfielder, 8, NaN, 14.97
7, Sessegnon, 15, Midfielder, 6.6, NaN, 14.54
8, Gomez, 19, Midfielder, 5, NaN, 14.22
9, Johnson, 11, Defender, 6.8, NaN, 14.05
10, Mignolet, 15, Goalkeeper, 4.3, NaN, 11.64
11, Boyce, 19, Defender, 4.3, NaN, 11.55
12, Lindegaard, 2, Goalkeeper, 4.4, NaN, 11.22
13, Ricketts, 7, Defender, 4.4, NaN, 10.67
14, Caulker, 29, Defender, 4, NaN, 10.59
15, Warnock, 3, Defender, 4.9, NaN, 10.5
Total Points, 206.68,, Total Form, NaN,, Total Price: 98.3
