1, Petrov, 3, Midfielder, 5.8, NaN, 16.91
2, Silva, 12, Midfielder, 10.3, NaN, 16.17
3, Sturridge, 8, Forward, 7.4, NaN, 16.06
4, Berbatov, 2, Forward, 8.9, NaN, 15.99
5, Valencia, 2, Midfielder, 8, NaN, 14.97
6, Sessegnon, 15, Midfielder, 6.6, NaN, 14.54
7, Gomez, 19, Midfielder, 5, NaN, 14.22
8, Johnson, 11, Defender, 6.8, NaN, 14.05
9, Reina, 11, Goalkeeper, 6.4, NaN, 13.89
10, Howard, 9, Goalkeeper, 5.4, NaN, 13.66
11, Jose Enrique, 11, Defender, 6, NaN, 13.34
12, Anichebe, 9, Forward, 5, NaN, 13.33
13, Zabaleta, 12, Defender, 5.7, NaN, 13.11
14, Rafael, 2, Defender, 5.4, NaN, 12.66
15, Kolarov, 12, Defender, 6.1, NaN, 12
Total Points, 214.9,, Total Form, NaN,, Total Price: 98.8
